tier,nfeat,depth,n_trees,roc,pr,nodes,kb,lat_us
F4_edge,4,4,55,0.6768259792887141,0.04138725304836273,1669,14.6689453125,12.222222222222221
F4_edge,4,5,67,0.6763442290973107,0.040917747458282396,3891,34.1982421875,18.61111111111111
F4_edge,4,6,13,0.6715889109082462,0.040115556608353364,1575,13.8427734375,4.333333333333333
F8_mean3,8,4,94,0.7044116737812722,0.05228227176904075,2848,25.03125,20.88888888888889
F8_mean3,8,5,45,0.7016888005621247,0.04963161882033938,2733,24.0205078125,12.5
F8_mean3,8,6,34,0.700399502203572,0.04940026896720584,3924,34.48828125,11.333333333333334
F16_m3d3,16,4,121,0.717661113830416,0.056098614950466745,3661,32.1767578125,26.88888888888889
F16_m3d3,16,5,126,0.7142172392712512,0.05345051933407579,7322,64.353515625,35.0
F16_m3d3,16,6,41,0.7115514627289261,0.05226825178498075,4695,41.2646484375,13.666666666666666
F24_m3d3m6,24,4,96,0.7245418890613973,0.061176590279803336,2910,25.576171875,21.333333333333332
F24_m3d3m6,24,5,58,0.7218035630218786,0.05922419123323652,3484,30.62109375,16.11111111111111
F24_m3d3m6,24,6,40,0.7170152226534152,0.05582803321510397,4584,40.2890625,13.333333333333334
F40_full,40,4,105,0.7236125101116847,0.06268424676670618,3195,28.0810546875,23.333333333333332
F40_full,40,5,62,0.7234459674110394,0.05958405734039758,3698,32.501953125,17.22222222222222
F40_full,40,6,48,0.7199712570248061,0.057034978512321366,5448,47.8828125,16.0
